blk_no,street,max_floor_lvl,year_completed,bldg_contract_town,total_dwelling_units,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold
17,CIRCUIT RD,8,2015,GL,0,0,0,0,0,0,0
17A,CIRCUIT RD,19,2015,GL,72,0,72,0,0,0,0
17B,CIRCUIT RD,19,2015,GL,108,0,108,0,0,0,0
18A,CIRCUIT RD,19,2015,GL,104,52,52,0,0,0,0
18B,CIRCUIT RD,19,2015,GL,120,52,68,0,0,0,0
18C,CIRCUIT RD,19,2015,GL,126,54,72,0,0,0,0
18D,CIRCUIT RD,19,2015,GL,107,53,54,0,0,0,0
208A,NEW UPP CHANGI RD,8,2014,BD,0,0,0,0,0,0,0
208B,NEW UPP CHANGI RD,1,2014,BD,0,0,0,0,0,0,0
556,BEDOK NTH ST 3,15,2015,BD,266,0,0,0,0,0,0
557,BEDOK NTH ST 3,15,2015,BD,280,0,0,0,0,0,0
609A,BEDOK RESERVOIR RD,13,2014,BD,129,0,0,0,0,0,103
63,SIMS PL,19,2015,GL,338,142,0,0,0,0,117
747,BEDOK RESERVOIR CRES,1,2014,BD,0,0,0,0,0,0,0
747A,BEDOK RESERVOIR CRES,14,2014,BD,81,14,27,40,0,0,0
747B,BEDOK RESERVOIR CRES,14,2014,BD,81,0,41,40,0,0,0
747C,BEDOK RESERVOIR CRES,14,2014,BD,80,0,54,26,0,0,0
748,BEDOK RESERVOIR CRES,7,2014,BD,0,0,0,0,0,0,0
748A,BEDOK RESERVOIR CRES,15,2014,BD,86,29,29,28,0,0,0
748B,BEDOK RESERVOIR CRES,15,2014,BD,73,30,29,14,0,0,0
748C,BEDOK RESERVOIR CRES,15,2014,BD,87,29,29,29,0,0,0
807,CHAI CHEE RD,5,2015,BD,0,0,0,0,0,0,0
807A,CHAI CHEE RD,15,2015,BD,126,42,84,0,0,0,0
807B,CHAI CHEE RD,15,2015,BD,154,14,42,0,0,0,0
807C,CHAI CHEE RD,15,2015,BD,140,42,70,28,0,0,0
808A,CHAI CHEE RD,15,2015,BD,138,28,110,0,0,0,0
808B,CHAI CHEE RD,15,2015,BD,154,14,42,0,0,0,0
808C,CHAI CHEE RD,15,2015,BD,140,42,98,0,0,0,0
